data folder: data/ready/pos/tiger/
embeddings: polyglot, de
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 1
use word embeddings: 0
use crf layer: 1

19. Eine_ART Übersicht_NN des_ART Wirtschafts-_TRUNC und_KON Sozialwissenschaftlichen_NN|ADJA Instituts_NE|NN (_$( WSI_NE )_$( des_ART DGB_NE zeigt_VVFIN ,_$, daß_KOUS für_APPR 9,3_CARD Millionen_NN Beschäftigte_NN Lohn-_TRUNC und_KON Gehaltserhöhungen_NN von_APPR im_APPRART Schnitt_NN 1,5_CARD Prozent_NN vereinbart_VVPP wurden_VAFIN ._$.
20. Demgegenüber_PROAV kletterten_VVFIN die_ART Lebenshaltungskosten_NN um_APPR 1,6_CARD Prozent_NN ._$.
21. In_APPR den_ART neuen_ADJA Bundesländern_NN wurde_VAFIN eine_ART durchschnittliche_ADJA Anhebung_NN um_APPR 2,5_CARD Prozent_NN ausgehandelt_VVPP ._$.
22. Eines_PIS der_ART brisantesten_ADJA sozialpolitischen_ADJA Themen_NN war_VAFIN in_APPR dieser_PDAT Runde_NN die_ART volle_ADJA Lohnfortzahlung_NN bei_APPR Krankheit_NN ._$.
23. In_APPR rund_ADV 80_CARD Wirtschaftszweigen_NN und_KON damit_PROAV für_APPR knapp_ADV 14_CARD Millionen_NN Arbeitnehmer_NN haben_VAFIN die_ART Gewerkschaften_NN die_ART hundert_CARD Prozent_NN retten_VVINF können_VMINF|VVINF ,_$, mußten_VMFIN aber_ADV zumeist_ADV Abstriche_NN beim_APPRART Weihnachtsgeld_NN und_KON sonstigen_ADJA Sonderzahlungen_NN machen_VVINF ._$.
24. Altersteilszeit-Regelungen_NN gab_VVFIN es_PPER in_APPR zehn_CARD Branchen_NN ._$.
25. Ihr_PPOSAT überwiegender_ADJA Inhalt_NN :_$. Beschäftigte_NN können_VMFIN vom_APPRART 55._ADJA Lebensjahr_NN an_APZR ihre_PPOSAT Arbeitszeit_NN um_APPR die_ART Hälfte_NN reduzieren_VVINF und_KON erhalten_VVFIN noch_ADV 85_CARD Prozent_NN des_ART bisherigen_ADJA Nettoverdienstes_NN ._$.
26. Die_ART Rentenbeiträge_NN werden_VAFIN auf_APPR 90_CARD Prozent_NN aufgestockt_VVPP ._$.
27. BfG_NE Bank_NN erneut_ADJD im_APPRART Gerede_NN
28. Gewerkschaftsholding_NN strebt_VVFIN Verkauf_NN zum_APPRART Schuldenabbau_NN an_PTKVZ
29. wb_XY
30. FRANKFURT_NE A._APPRART M._NE
31. Weiterer_ADJA Schuldenabbau_NN steht_VVFIN auch_ADV für_APPR Rolf_NE Freyberg_NE ganz_ADV oben_ADV auf_APPR der_ART Agenda_NN ._$.
32. Der_ART neue_ADJA Chef_NN der_ART BGAG_NE will_VMFIN die_ART Gewerkschaftsholding_NN in_APPR die_ART Lage_NN versetzen_VVINF ,_$, ihr_PPOSAT Kapital_NN ``_$( angemessen_ADJD und_KON nachhaltig_ADJD zu_PTKZU verzinsen_VVINF ''_$( ._$.
