data folder: data/ready/pos/wsj/
embeddings: glove, 6B.100d
epochs: 100
batch size: 8
initial learning rate: 0.001
l.r. decay rate: 0.05
byte lstm units: 64
word lstm units: 128
byte embedding dim: 50
byte lstm layers: 1
word lstm layers: 1
use byte embeddings: 1
use word embeddings: 1
use crf layer: 1

4. The_DT company_NN had_VBD sought_VBN increases_NNS totaling_VBG $_$ 80.3_CD million_CD ,_, or_CC 22_CD %_NN ._.
5. The_DT decision_NN was_VBD announced_VBN after_IN trading_NN ended_VBD ._.
6. Tucson_NNP Electric_NNP closed_VBD at_IN $_$ 20.875_CD a_DT share_NN ,_, down_RB 25_CD cents_NNS ,_, in_IN New_NNP York_NNP Stock_NNP Exchange_NNP composite_JJ trading_NN ._.
7. A_DT Tucson_NNP Electric_NNP spokesman_NN said_VBD the_DT utility_NN was_VBD disappointed_VBN by_IN the_DT commission_NN 's_POS decision_NN and_CC ``_`` concerned_VBN|JJ about_IN the_DT financial_JJ integrity_NN of_IN the_DT company_NN ._.
8. South_JJ Korean_NNP|JJ President_NNP Roh_NNP Tae_NNP Woo_NNP ,_, brushing_VBG aside_RB|RP suggestions_NNS that_IN the_DT won_NN be_VB revalued_VBN again_RB ,_, said_VBD the_DT currency_NN 's_POS current_JJ level_NN against_IN the_DT dollar_NN is_VBZ ``_`` appropriate_JJ ._. ''_''
9. His_PRP$ comments_NNS ,_, made_VBN in_IN response_NN to_TO reporters_NNS '_POS questions_NNS at_IN the_DT National_NNP Press_NNP Club_NNP here_RB ,_, signaled_VBD that_IN Seoul_NNP is_VBZ resisting_VBG U.S._NNP pressure_NN for_IN a_DT further_JJ|JJR rise_NN in_IN the_DT currency_NN 's_POS value_NN ._.
10. The_DT U.S._NNP wants_VBZ a_DT higher_JJR won_NN to_TO make_VB South_NNP Korea_NNP 's_POS exports_NNS more_RBR expensive_JJ and_CC help_VB trim_VB Seoul_NNP 's_POS trade_NN surplus_NN ._.
11. Many_JJ South_JJ Korean_JJ business_NN people_NNS want_VBP a_DT devaluation_NN instead_RB ,_, arguing_VBG that_IN the_DT won_NN|VBN 's_POS recent_JJ gains_NNS already_RB have_VBP weakened_VBN the_DT country_NN 's_POS export_NN performance_NN ._.
12. Mr._NNP Roh_NNP also_RB said_VBD South_NNP Korea_NNP is_VBZ taking_VBG steps_NNS that_WDT would_MD free_VB the_DT won_NN to_TO respond_VB to_TO market_NN forces_NNS ._.
13. Seoul_NNP has_VBZ pointed_VBN to_TO its_PRP$ lack_NN of_IN a_DT foreign_JJ exchange_NN market_NN as_IN one_CD reason_NN the_DT won_NN 's_POS value_NN remains_VBZ heavily_RB controlled_VBN ._.
14. Mr._NNP Roh_NNP said_VBD a_DT U.S._NNP demand_NN for_IN the_DT removal_NN of_IN South_JJ Korean_JJ import_NN quotas_NNS on_IN beef_NN will_MD be_VB resolved_VBN ``_`` satisfactorily_RB ''_'' but_CC gave_VBD no_DT hint_NN when_WRB that_DT will_MD happen_VB ._.
15. Speaking_VBG to_TO a_DT joint_JJ meeting_NN of_IN Congress_NNP earlier_RBR ,_, he_PRP said_VBD South_NNP Korea_NNP ca_MD n't_RB move_VB quickly_RB on_IN such_JJ agricultural_JJ trade_NN issues_NNS ``_`` without_IN causing_VBG political_JJ and_CC social_JJ trauma_NN ._.
16. Great_NNP American_NNP Bank_NNP said_VBD its_PRP$ board_NN approved_VBD the_DT formation_NN of_IN a_DT holding_VBG|NN company_NN enabling_VBG the_DT savings_NNS bank_NN to_TO pursue_VB nontraditional_JJ banking_NN activities_NNS under_IN a_DT new_JJ federal_JJ law_NN ._.
17. The_DT proposed_VBN|JJ holding_VBG|NN company_NN 's_POS primary_JJ purpose_NN would_MD be_VB to_TO allow_VB Great_NNP American_NNP to_TO continue_VB engaging_VBG|JJ in_IN real_JJ estate_NN development_NN activities_NNS ,_, it_PRP said_VBD ._.
18. Those_DT activities_NNS generated_VBD $_$ 26.1_CD million_CD in_IN operating_NN profit_NN last_JJ year_NN ._.
19. But_CC according_VBG to_TO Great_JJ|NNP American_JJ|NNP ,_, such_JJ profits_NNS do_VBP n't_RB count_VB toward_IN meeting_VBG the_DT San_NNP Diego_NNP savings_NNS bank_NN 's_POS new_JJ capitalization_NN requirements_NNS under_IN 1989_CD federal_JJ law_NN ._.
20. The_DT new_JJ real_JJ estate_NN unit_NN would_MD have_VB a_DT separate_JJ capital_NN structure_NN to_TO comply_VB with_IN the_DT law_NN ._.
21. The_DT proposed_VBN|JJ holding_VBG|NN company_NN would_MD also_RB consolidate_VB Great_NNP American_NNP Bank_NNP in_IN San_NNP Diego_NNP and_CC its_PRP$ Tucson_NNP ,_, Ariz._NNP ,_, savings_NNS bank_NN into_IN a_DT single_JJ ,_, federally_RB chartered_VBN|JJ institution_NN in_IN San_NNP Diego_NNP ._.
